 (2054.51,0)
 (5.14198,-10.944)
 (-5.4887,2.09349)
 (-8.77469,-0.614594)
 (-2.1173,-21.5217)
 (28.8559,-2.40057)
 (-5.60936,-1.15376)
 (14.0923,12.4323)
 (-9.03539,-16.7895)
 (3.97158,10.1853)
 (-1.31429,23.4952)
 (-29.0778,-5.1879)
 (-3.714,2.50517)
 (1.33305,-8.81432)
 (-16.7382,0.350348)
 (-19.3593,-5.74159)
 (-20.6461,2.55245)
 (16.2852,2.85226)
 (2.67635,3.47928)
 (-0.108337,-10.8018)
 (13.1121,-2.30305)
 (1.15258,10.3723)
 (10.3561,-13.075)
 (-24.8157,23.9874)
 (-9.59887,6.5157)
 (-0.632053,14.2946)
 (-16.6408,18.6914)
 (-4.70007,-11.6926)
 (12.4756,-8.01842)
 (22.9058,11.2531)
 (9.41954,0.79642)
 (-7.73455,5.38861)
 (4.68921,22.6451)
 (-4.20773,26.3096)
 (-6.68439,-16.283)
 (4.70289,-3.13448)
 (-4.57585,-11.914)
 (-23.6449,-14.1499)
 (3.76546,-5.60759)
 (10.3851,-3.29826)
 (-11.8069,-3.64674)
 (15.0923,12.2805)
 (-0.116302,-26.7393)
 (-2.62129,-1.37687)
 (-2.32147,10.9016)
 (26.4753,-19.8856)
 (-3.55959,5.37719)
 (-3.07489,0.66925)
 (1.61482,8.21841)
 (-11.1059,12.4458)
 (2.27952,-9.78992)
 (-26.5173,30.907)
 (-22.2637,12.1621)
 (-0.801985,-7.68293)
 (-11.764,-15.9925)
 (-0.756678,10.5446)
 (16.5891,-9.65513)
 (1.41523,10.0158)
 (-33.1993,14.1051)
 (4.19446,-16.977)
 (-3.63715,-13.7199)
 (-9.38258,-4.39457)
 (8.99074,0.788611)
 (15.1488,-0.144906)
 (10.2364,-16.2157)
 (11.8435,-8.31852)
 (-2.10422,-1.64666)
 (25.3082,-4.40184)
 (-25.5782,-22.4816)
 (2.36458,-3.00619)
 (24.5308,10.9643)
 (14.3912,34.769)
 (-4.87836,-9.79623)
 (10.6736,-9.35316)
 (-3.71677,23.8264)
 (24.8337,-1.24522)
 (1.25854,1.01798)
 (14.7103,13.6569)
 (-16.0718,1.50401)
 (-23.1069,-18.3827)
 (-19.8366,18.1145)
 (-9.29785,-3.49594)
 (4.91462,14.2257)
 (11.0198,5.86804)
 (-16.8255,-3.8238)
 (-3.94732,-15.2841)
 (-8.99635,-16.5821)
 (-6.13989,-7.45804)
 (-17.8921,-6.08433)
 (13.4488,-1.97643)
 (-1.29447,-21.7624)
 (-22.9834,-3.48146)
 (21.3973,1.07407)
 (32.0052,-5.47444)
 (-8.60888,11.233)
 (-19.0757,11.4743)
 (14.0237,15.5266)
 (-0.732436,-5.18867)
 (12.5682,7.8218)
 (-1.39852,-2.09178)
 (17.2538,-11.2103)
 (-22.042,-7.1529)
 (-12.1871,-11.4285)
 (-14.8,-16.8535)
 (-5.02258,-26.5322)
 (2.06297,10.4501)
 (-7.94386,-6.13223)
 (13.9655,-12.3717)
 (-9.72549,-13.8174)
 (3.39771,-3.30814)
 (-4.42045,-2.85268)
 (-4.13292,7.48615)
 (-27.6063,16.1432)
 (-4.66368,4.88704)
 (-8.49126,2.88514)
 (14.2287,3.79029)
 (-1.8908,12.9492)
 (15.7411,23.7299)
 (-12.5308,11.2966)
 (-10.3796,7.50679)
 (-14.5447,-25.2096)
 (9.55614,-12.3839)
 (-19.7854,13.5143)
 (4.37233,17.852)
 (-2.77546,17.9845)
 (-2.24707,8.36817)
 (-2.61353,-13.0941)
 (-11.2094,-0.612833)
 (2.45757,19.5672)
 (-20.9016,13.6239)
 (19.1509,13.1104)
 (14.1381,-11.7621)
 (14.4836,2.72537)
 (15.6951,-25.6902)
 (-24.7966,12.3738)
 (-4.16861,-3.81723)
 (-1.31091,-9.25623)
 (-9.80915,0.905843)
 (-21.6699,-5.09788)
 (8.55329,10.5376)
 (12.577,8.25372)
 (8.82934,-13.4721)
 (10.4258,1.95791)
 (3.45602,23.7113)
 (9.46683,3.26815)
 (-11.0851,6.93782)
 (-30.2209,-13.8868)
 (-34.3836,-11.306)
 (-7.8468,6.89916)
 (-32.4896,14.79)
 (-25.0676,-2.26273)
 (-5.83485,-4.43886)
 (-2.19291,8.91763)
 (-1.76268,-3.64223)
 (-10.6084,-2.36846)
 (-5.42941,22.4272)
 (0.45096,-12.6494)
 (4.4763,-18.9879)
 (17.0009,2.94078)
 (-1.89208,-13.3517)
 (-1.83501,6.12608)
 (2.05825,22.2076)
 (5.91735,9.37866)
 (-0.211129,7.13993)
 (8.81932,4.91097)
 (-14.0406,-9.78494)
 (1.17614,13.6847)
 (3.56487,3.09884)
 (1.33469,-11.4035)
 (20.0513,-6.83243)
 (0.695635,14.3792)
 (6.27272,10.0149)
 (27.7753,0.0470047)
 (-4.48443,11.7787)
 (-9.68821,27.0497)
 (-2.60395,-8.93691)
 (9.69171,-0.164219)
 (21.7872,19.0228)
 (8.62059,-4.15288)
 (2.48322,9.43573)
 (5.3082,-11.7845)
 (15.0425,0.412394)
 (-6.15171,7.36351)
 (-5.5368,-5.44051)
 (-16.9239,-15.8683)
 (-20.9963,-0.0508976)
 (-7.34955,-19.8137)
 (5.5773,-9.9792)
 (6.93984,-10.4765)
 (1.09635,-8.75479)
 (8.03819,-8.65518)
 (11.1827,17.6687)
 (20.7299,14.3961)
 (-9.37432,6.38854)
 (12.2354,1.04588)
 (-18.0567,-15.2985)
 (14.2037,1.22367)
 (15.8672,9.85453)
 (3.86068,3.84318)
 (12.4647,9.69318)
 (27.9366,-29.6485)
 (-1.38388,2.73896)
 (4.13372,0.632365)
 (-29.7821,-23.9045)
 (-8.01893,3.51015)
 (-3.72407,-8.59315)
 (1.01071,11.3218)
 (-4.77583,-2.862)
 (6.12713,-14.1617)
 (-11.1014,-26.3761)
 (-10.861,23.7416)
 (1.50382,10.4522)
 (19.1333,5.69758)
 (19.6282,1.35903)
 (2.79353,-7.3905)
 (13.1836,6.07843)
 (-7.46333,-13.0206)
 (-4.2923,13.3876)
 (-27.9693,11.8561)
 (-1.79406,-14.4441)
 (-12.4967,27.0657)
 (25.2454,4.51171)
 (6.58063,-13.446)
 (10.267,-15.3563)
 (-1.48548,-5.04037)
 (4.03216,-1.09036)
 (-8.92074,3.59481)
 (0.989659,-8.85038)
 (-16.3535,-4.11514)
 (5.14341,-28.6809)
 (-6.46802,3.63209)
 (-13.1443,14.7761)
 (21.7921,1.1191)
 (-1.53138,-15.8768)
 (-7.47896,5.61508)
 (5.15677,-5.11058)
 (14.0628,7.30305)
 (-2.16763,-19.0434)
 (-14.3045,0.807811)
 (-16.2783,2.94342)
 (23.925,3.36065)
 (-4.909,-6.32571)
 (4.5052,-29.6081)
 (0.358837,-6.49775)
 (4.96529,6.67791)
 (12.2771,7.16767)
 (1.63936,-16.1229)
 (9.95729,43.9105)
 (-10.9968,25.7054)
 (17.9598,-5.21769)
 (10.4458,26.6829)
 (-12.4513,1.4584)
 (7.29949,10.629)
 (-0.925396,10.6876)
 (4.51932,1.67635)
 (-7.53083,-5.02786)
 (6.31177,13.0248)
 (17.0019,-3.83188)
 (13.8917,-7.02764)
 (11.0743,-10.6577)
 (-18.3972,-9.23381)
 (13.2538,3.14868)
 (31.1666,3.19929)
 (9.28804,12.197)
 (-18.8045,-5.73384)
 (17.1963,11.9465)
 (7.69663,-7.79252)
 (-11.0413,0.142821)
 (-3.53747,-3.98113)
 (-11.3471,-3.62307)
 (-10.7217,24.2541)
 (-12.245,12.7376)
 (0.844667,14.433)
 (-8.58031,5.80416)
 (5.29893,12.6443)
 (11.1931,-8.40633)
 (14.3948,-9.08852)
 (-13.2263,3.04875)
 (-5.98078,-1.91546)
 (-3.14282,12.7917)
 (3.10163,20.1957)
 (-9.06031,9.88085)
 (-16.2614,16.2987)
 (3.95306,1.48122)
 (-9.00609,-7.96837)
 (-8.93783,-7.03467)
 (-25.5661,4.81367)
 (-7.99861,17.8043)
 (7.43109,15.9558)
 (-14.3674,-15.8661)
 (-9.09827,-37.5437)
 (-8.00275,9.32857)
 (3.97717,5.94854)
 (15.2736,8.20947)
 (24.7724,18.4485)
 (-16.5016,-14.5891)
 (8.72745,9.24102)
 (-17.8108,11.6751)
 (5.70887,-2.75411)
 (7.18574,-2.0995)
 (0.571812,1.54894)
 (11.0267,5.95738)
 (-1.41761,-24.9473)
 (6.05458,2.89794)
 (-27.9403,-10.7943)
 (-17.3844,6.71771)
 (0.0142117,-19.0976)
 (-8.67716,-1.87211)
 (-13.06,18.638)
 (1.00406,19.9586)
 (-5.20003,-34.1993)
