# Created by Octave 3.6.1, Thu Jul 26 11:18:02 2012 W. Europe Daylight Time <unknown@Fusion>
# name: a
# type: complex matrix
# rows: 4096
# columns: 1
 (2054.507514499902,0)
 (5.141979809434142,-10.94405044173035)
 (-5.488702459316629,2.09348943209637)
 (-8.774695811846593,-0.614591870118685)
 (-2.117301656039599,-21.52166162193588)
 (28.85593816975062,-2.400571097269236)
 (-5.609360585367374,-1.153762661954789)
 (14.09225653097567,12.4323054288623)
 (-9.035401699455905,-16.78948326660398)
 (3.971578971800144,10.18526972632667)
 (-1.314282064396195,23.49522135224821)
 (-29.07779345185931,-5.187902905090402)
 (-3.714006336806517,2.505167492347179)
 (1.333049016595502,-8.814326466570224)
 (-16.73816865418426,0.3503507219031055)
 (-19.35927293729828,-5.7415866793352)
 (-20.64613653858876,2.552446813506268)
 (16.28522811647102,2.852258396011555)
 (2.67635060601861,3.479277250076001)
 (-0.1083381549392274,-10.80181248937736)
 (13.11205013304564,-2.30305041123068)
 (1.152573590762735,10.37232769820479)
 (10.35611883505123,-13.07502608542936)
 (-24.81570946399752,23.98739188346598)
 (-9.598873038441623,6.515701471793093)
 (-0.6320468235749451,14.29456072797421)
 (-16.64081547582163,18.69137907022687)
 (-4.700070487665933,-11.69264159713212)
 (12.47564267571414,-8.018419814727702)
 (22.90576815172874,11.253088580735)
 (9.419536970224193,0.7964214652657409)
 (-7.734540099771461,5.388610223939013)
 (4.689202150251955,22.64510637471155)
 (-4.207732222975509,26.3095549109926)
 (-6.684395135481894,-16.28298105687162)
 (4.702889157703953,-3.134483719973984)
 (-4.575849960696962,-11.91395765506137)
 (-23.64493283266167,-14.14993775377612)
 (3.765458095781713,-5.607597373265261)
 (10.38511044068667,-3.298258974203711)
 (-11.80690760209584,-3.646749382185154)
 (15.09230762579275,12.28048734285981)
 (-0.1163023887341285,-26.739251094178)
 (-2.621292583711808,-1.376866869110101)
 (-2.321469748629382,10.90155189752019)
 (26.47533413482114,-19.88559659038248)
 (-3.55958189698992,5.37719092171259)
 (-3.074885800513772,0.6692492212552743)
 (1.614807848312405,8.218413003161297)
 (-11.10587140040781,12.44583117493821)
